,county,count,month,year,state
143,CHAMBERS,22876,March,2017,AL
144,CHEROKEE,16740,March,2017,AL
145,CHILTON,27855,March,2017,AL
146,CHOCTAW,9866,March,2017,AL
147,CLARKE,18882,March,2017,AL
148,CLAY,9589,March,2017,AL
149,CLEBURNE,10008,March,2017,AL
150,COFFEE,32106,March,2017,AL
151,COLBERT,38034,March,2017,AL
152,CONECUH,10257,March,2017,AL
153,COOSA,7940,March,2017,AL
154,COVINGTON,25186,March,2017,AL
155,CRENSHAW,9767,March,2017,AL
156,CULLMAN,54410,March,2017,AL
157,DALE,30865,March,2017,AL
158,DALLAS,30678,March,2017,AL
159,DEKALB,39328,March,2017,AL
160,ELMORE,53355,March,2017,AL
161,ESCAMBIA,23887,March,2017,AL
162,ETOWAH,67619,March,2017,AL
163,FAYETTE,11955,March,2017,AL
164,FRANKLIN,18555,March,2017,AL
165,GENEVA,17638,March,2017,AL
166,GREENE,7095,March,2017,AL
167,HALE,12130,March,2017,AL
168,HENRY,12398,March,2017,AL
169,HOUSTON,67517,March,2017,AL
170,JACKSON,36285,March,2017,AL
171,JEFFERSON,450563,March,2017,AL
172,LAMAR,10617,March,2017,AL
173,LAUDERDALE,60204,March,2017,AL
174,LAWRENCE,23259,March,2017,AL
175,LEE,100827,March,2017,AL
176,LIMESTONE,56975,March,2017,AL
177,LOWNDES,9821,March,2017,AL
178,MACON,17162,March,2017,AL
179,MADISON,240944,March,2017,AL
180,MARENGO,15437,March,2017,AL
181,MARION,19822,March,2017,AL
182,MARSHALL,54999,March,2017,AL
183,MOBILE,278192,March,2017,AL
184,MONROE,15962,March,2017,AL
185,MONTGOMERY,145694,March,2017,AL
186,MORGAN,74732,March,2017,AL
187,PERRY,8117,March,2017,AL
188,PICKENS,13558,March,2017,AL
189,PIKE,20431,March,2017,AL
190,RANDOLPH,16174,March,2017,AL
191,RUSSELL,34745,March,2017,AL
192,SHELBY,137744,March,2017,AL
193,ST_CLAIR,58063,March,2017,AL
194,SUMTER,9017,March,2017,AL
195,TALLADEGA,51069,March,2017,AL
196,TALLAPOOSA,28497,March,2017,AL
197,TUSCALOOSA,123832,March,2017,AL
198,WALKER,45804,March,2017,AL
199,WASHINGTON,12624,March,2017,AL
200,WILCOX,8890,March,2017,AL
201,WINSTON,15487,March,2017,AL
202,AUTAUGA,37296,April,2017,AL
203,BALDWIN,138522,April,2017,AL
204,BARBOUR,16388,April,2017,AL
205,BIBB,13368,April,2017,AL
206,BLOUNT,37360,April,2017,AL
207,BULLOCK,7206,April,2017,AL
208,BUTLER,13125,April,2017,AL
209,CALHOUN,73062,April,2017,AL
210,CHAMBERS,22896,April,2017,AL
211,CHEROKEE,16758,April,2017,AL
212,CHILTON,27901,April,2017,AL
213,CHOCTAW,9870,April,2017,AL
214,CLARKE,18893,April,2017,AL
215,CLAY,9603,April,2017,AL
216,CLEBURNE,10026,April,2017,AL
217,COFFEE,32127,April,2017,AL
218,COLBERT,38124,April,2017,AL
219,CONECUH,10232,April,2017,AL
220,COOSA,7935,April,2017,AL
221,COVINGTON,25244,April,2017,AL
222,CRENSHAW,9759,April,2017,AL
223,CULLMAN,54508,April,2017,AL
224,DALE,30985,April,2017,AL
225,DALLAS,30675,April,2017,AL
226,DEKALB,39401,April,2017,AL
227,ELMORE,53384,April,2017,AL
228,ESCAMBIA,23939,April,2017,AL
229,ETOWAH,67794,April,2017,AL
230,FAYETTE,11953,April,2017,AL
231,FRANKLIN,18589,April,2017,AL
232,GENEVA,17667,April,2017,AL
233,GREENE,7074,April,2017,AL
234,HALE,12037,April,2017,AL
235,HENRY,12398,April,2017,AL
236,HOUSTON,67704,April,2017,AL
237,JACKSON,36291,April,2017,AL
238,JEFFERSON,451289,April,2017,AL
239,LAMAR,10606,April,2017,AL
240,LAUDERDALE,60263,April,2017,AL
241,LAWRENCE,23313,April,2017,AL
242,LEE,101118,April,2017,AL
243,LIMESTONE,56957,April,2017,AL
244,LOWNDES,9815,April,2017,AL
245,MACON,17166,April,2017,AL
246,MADISON,241564,April,2017,AL
247,MARENGO,15405,April,2017,AL
248,MARION,19858,April,2017,AL
249,MARSHALL,55159,April,2017,AL
250,MOBILE,278547,April,2017,AL
251,MONROE,15983,April,2017,AL
252,MONTGOMERY,146024,April,2017,AL
253,MORGAN,74915,April,2017,AL
254,PERRY,8083,April,2017,AL
255,PICKENS,13568,April,2017,AL
256,PIKE,20445,April,2017,AL
257,RANDOLPH,16203,April,2017,AL
258,RUSSELL,34856,April,2017,AL
259,SHELBY,138053,April,2017,AL
260,ST_CLAIR,58159,April,2017,AL
261,SUMTER,9009,April,2017,AL
262,TALLADEGA,51144,April,2017,AL
263,TALLAPOOSA,28542,April,2017,AL
264,TUSCALOOSA,124096,April,2017,AL
265,WALKER,45853,April,2017,AL
266,WASHINGTON,12650,April,2017,AL
267,WILCOX,8881,April,2017,AL
268,WINSTON,15519,April,2017,AL
269,AUTAUGA,37115,May,2017,AL
270,BALDWIN,138282,May,2017,AL
271,BARBOUR,16286,May,2017,AL
272,BIBB,13354,May,2017,AL
273,BLOUNT,37317,May,2017,AL
274,BULLOCK,7171,May,2017,AL
275,BUTLER,13101,May,2017,AL
276,CALHOUN,72795,May,2017,AL
277,CHAMBERS,22783,May,2017,AL
278,CHEROKEE,16657,May,2017,AL
279,CHILTON,27823,May,2017,AL
280,CHOCTAW,9849,May,2017,AL
281,CLARKE,18800,May,2017,AL
282,CLAY,9586,May,2017,AL
283,CLEBURNE,10032,May,2017,AL
284,COFFEE,31878,May,2017,AL
285,COLBERT,38007,May,2017,AL
286,CONECUH,10152,May,2017,AL
287,COOSA,7907,May,2017,AL
288,COVINGTON,25192,May,2017,AL
289,CRENSHAW,9731,May,2017,AL
290,CULLMAN,54403,May,2017,AL
291,DALE,30826,May,2017,AL
292,DALLAS,30640,May,2017,AL
293,DEKALB,39310,May,2017,AL
294,ELMORE,53295,May,2017,AL
295,ESCAMBIA,23919,May,2017,AL
296,ETOWAH,67741,May,2017,AL
297,FAYETTE,11906,May,2017,AL
298,FRANKLIN,18479,May,2017,AL
299,GENEVA,17649,May,2017,AL
300,GREENE,7036,May,2017,AL
301,HALE,11933,May,2017,AL
302,HENRY,12282,May,2017,AL
303,HOUSTON,66598,May,2017,AL
304,JACKSON,36133,May,2017,AL
305,JEFFERSON,451506,May,2017,AL
306,LAMAR,10557,May,2017,AL
307,LAUDERDALE,60032,May,2017,AL
308,LAWRENCE,23253,May,2017,AL
309,LEE,101296,May,2017,AL
310,LIMESTONE,57023,May,2017,AL
311,LOWNDES,9756,May,2017,AL
312,MACON,16996,May,2017,AL
313,MADISON,240278,May,2017,AL
314,MARENGO,15314,May,2017,AL
315,MARION,19804,May,2017,AL
316,MARSHALL,55060,May,2017,AL
317,MOBILE,278830,May,2017,AL
318,MONROE,15981,May,2017,AL
319,MONTGOMERY,145573,May,2017,AL
320,MORGAN,74487,May,2017,AL
321,PERRY,8037,May,2017,AL
322,PICKENS,13501,May,2017,AL
323,PIKE,20355,May,2017,AL
324,RANDOLPH,16114,May,2017,AL
325,RUSSELL,34686,May,2017,AL
326,SHELBY,138051,May,2017,AL
327,ST_CLAIR,57889,May,2017,AL
328,SUMTER,8945,May,2017,AL
329,TALLADEGA,51007,May,2017,AL
330,TALLAPOOSA,28434,May,2017,AL
331,TUSCALOOSA,123602,May,2017,AL
332,WALKER,45887,May,2017,AL
333,WASHINGTON,12672,May,2017,AL
334,WILCOX,8826,May,2017,AL
335,WINSTON,15437,May,2017,AL
336,AUTAUGA,37173,June,2017,AL
337,BALDWIN,139307,June,2017,AL
338,BARBOUR,16308,June,2017,AL
339,BIBB,13425,June,2017,AL
340,BLOUNT,37287,June,2017,AL
341,BULLOCK,7177,June,2017,AL
342,BUTLER,13134,June,2017,AL
343,CALHOUN,72932,June,2017,AL
344,CHAMBERS,22843,June,2017,AL
345,CHEROKEE,16679,June,2017,AL
346,CHILTON,27840,June,2017,AL
347,CHOCTAW,9851,June,2017,AL
348,CLARKE,18814,June,2017,AL
349,CLAY,9613,June,2017,AL
350,CLEBURNE,10057,June,2017,AL
351,COFFEE,31908,June,2017,AL
352,COLBERT,38218,June,2017,AL
353,CONECUH,10160,June,2017,AL
354,COOSA,7897,June,2017,AL
355,COVINGTON,25262,June,2017,AL
356,CRENSHAW,9750,June,2017,AL
357,CULLMAN,54548,June,2017,AL
358,DALE,30909,June,2017,AL
359,DALLAS,30636,June,2017,AL
360,DEKALB,39395,June,2017,AL
361,ELMORE,53384,June,2017,AL
362,ESCAMBIA,23925,June,2017,AL
363,ETOWAH,67700,June,2017,AL
364,FAYETTE,11947,June,2017,AL
365,FRANKLIN,18513,June,2017,AL
366,GENEVA,17664,June,2017,AL
367,GREENE,7036,June,2017,AL
368,HALE,11883,June,2017,AL
369,HENRY,12294,June,2017,AL
370,HOUSTON,66855,June,2017,AL
371,JACKSON,36172,June,2017,AL
372,JEFFERSON,452962,June,2017,AL
373,LAMAR,10546,June,2017,AL
374,LAUDERDALE,60194,June,2017,AL
375,LAWRENCE,23314,June,2017,AL
376,LEE,101765,June,2017,AL
377,LIMESTONE,57252,June,2017,AL
378,LOWNDES,9758,June,2017,AL
379,MACON,16990,June,2017,AL
380,MADISON,240969,June,2017,AL
381,MARENGO,15299,June,2017,AL
382,MARION,19854,June,2017,AL
383,MARSHALL,55284,June,2017,AL
384,MOBILE,279893,June,2017,AL
385,MONROE,15981,June,2017,AL
386,MONTGOMERY,146096,June,2017,AL
387,MORGAN,74766,June,2017,AL
388,PERRY,8041,June,2017,AL
389,PICKENS,13513,June,2017,AL
390,PIKE,20409,June,2017,AL
391,RANDOLPH,16150,June,2017,AL
392,RUSSELL,34737,June,2017,AL
393,SHELBY,138699,June,2017,AL
394,ST_CLAIR,58094,June,2017,AL
395,SUMTER,8944,June,2017,AL
396,TALLADEGA,51148,June,2017,AL
397,TALLAPOOSA,28488,June,2017,AL
398,TUSCALOOSA,124369,June,2017,AL
399,WALKER,45959,June,2017,AL
400,WASHINGTON,12686,June,2017,AL
401,WILCOX,8824,June,2017,AL
402,WINSTON,15460,June,2017,AL
403,AUTAUGA,33074,July,2017,AL
404,BALDWIN,128211,July,2017,AL
405,BARBOUR,14570,July,2017,AL
406,BIBB,12034,July,2017,AL
407,BLOUNT,33898,July,2017,AL
408,BULLOCK,6453,July,2017,AL
409,BUTLER,12112,July,2017,AL
410,CALHOUN,64018,July,2017,AL
411,CHAMBERS,20919,July,2017,AL
412,CHEROKEE,15390,July,2017,AL
413,CHILTON,24633,July,2017,AL
414,CHOCTAW,9147,July,2017,AL
415,CLARKE,16909,July,2017,AL
416,CLAY,8866,July,2017,AL
417,CLEBURNE,8887,July,2017,AL
418,COFFEE,28226,July,2017,AL
419,COLBERT,34551,July,2017,AL
420,CONECUH,8831,July,2017,AL
421,COOSA,7089,July,2017,AL
422,COVINGTON,21939,July,2017,AL
423,CRENSHAW,8539,July,2017,AL
424,CULLMAN,49724,July,2017,AL
425,DALE,26609,July,2017,AL
426,DALLAS,26973,July,2017,AL
427,DEKALB,36213,July,2017,AL
428,ELMORE,48687,July,2017,AL
429,ESCAMBIA,21502,July,2017,AL
430,ETOWAH,62169,July,2017,AL
431,FAYETTE,10775,July,2017,AL
432,FRANKLIN,16619,July,2017,AL
433,GENEVA,15913,July,2017,AL
434,GREENE,6236,July,2017,AL
435,HALE,10581,July,2017,AL
436,HENRY,11392,July,2017,AL
437,HOUSTON,59413,July,2017,AL
438,JACKSON,32484,July,2017,AL
439,JEFFERSON,402279,July,2017,AL
440,LAMAR,9087,July,2017,AL
441,LAUDERDALE,53405,July,2017,AL
442,LAWRENCE,21178,July,2017,AL
443,LEE,88235,July,2017,AL
444,LIMESTONE,53892,July,2017,AL
445,LOWNDES,8818,July,2017,AL
446,MACON,14565,July,2017,AL
447,MADISON,216201,July,2017,AL
448,MARENGO,13998,July,2017,AL
449,MARION,17492,July,2017,AL
450,MARSHALL,50406,July,2017,AL
451,MOBILE,246287,July,2017,AL
452,MONROE,13706,July,2017,AL
453,MONTGOMERY,131059,July,2017,AL
454,MORGAN,69106,July,2017,AL
455,PERRY,7258,July,2017,AL
456,PICKENS,12155,July,2017,AL
457,PIKE,18433,July,2017,AL
458,RANDOLPH,14408,July,2017,AL
459,RUSSELL,30885,July,2017,AL
460,SHELBY,127427,July,2017,AL
461,ST_CLAIR,53415,July,2017,AL
462,SUMTER,8249,July,2017,AL
463,TALLADEGA,47402,July,2017,AL
464,TALLAPOOSA,26221,July,2017,AL
465,TUSCALOOSA,111787,July,2017,AL
466,WALKER,40894,July,2017,AL
467,WASHINGTON,11398,July,2017,AL
468,WILCOX,7739,July,2017,AL
469,WINSTON,14049,July,2017,AL
470,AUTAUGA,33408,August,2017,AL
471,BALDWIN,129672,August,2017,AL
472,BARBOUR,14709,August,2017,AL
473,BIBB,12162,August,2017,AL
474,BLOUNT,34226,August,2017,AL
475,BULLOCK,6612,August,2017,AL
476,BUTLER,12191,August,2017,AL
477,CALHOUN,64601,August,2017,AL
478,CHAMBERS,21036,August,2017,AL
479,CHEROKEE,15530,August,2017,AL
480,CHILTON,24771,August,2017,AL
481,CHOCTAW,9211,August,2017,AL
482,CLARKE,17007,August,2017,AL
483,CLAY,8932,August,2017,AL
484,CLEBURNE,8964,August,2017,AL
485,COFFEE,28426,August,2017,AL
486,COLBERT,34743,August,2017,AL
487,CONECUH,8870,August,2017,AL
488,COOSA,7147,August,2017,AL
489,COVINGTON,22147,August,2017,AL
490,CRENSHAW,8615,August,2017,AL
491,CULLMAN,50257,August,2017,AL
492,DALE,26910,August,2017,AL
493,DALLAS,27102,August,2017,AL
494,DEKALB,36552,August,2017,AL
495,ELMORE,48838,August,2017,AL
496,ESCAMBIA,21666,August,2017,AL
497,ETOWAH,62468,August,2017,AL
498,FAYETTE,10878,August,2017,AL
499,FRANKLIN,16757,August,2017,AL
500,GENEVA,16022,August,2017,AL
501,GREENE,6236,August,2017,AL
502,HALE,10631,August,2017,AL
503,HENRY,11438,August,2017,AL
504,HOUSTON,60302,August,2017,AL
505,JACKSON,32717,August,2017,AL
506,JEFFERSON,408113,August,2017,AL
507,LAMAR,9152,August,2017,AL
508,LAUDERDALE,53980,August,2017,AL
509,LAWRENCE,21363,August,2017,AL
510,LEE,89218,August,2017,AL
511,LIMESTONE,54383,August,2017,AL
512,LOWNDES,8893,August,2017,AL
513,MACON,14656,August,2017,AL
514,MADISON,218396,August,2017,AL
515,MARENGO,14124,August,2017,AL
516,MARION,17634,August,2017,AL
517,MARSHALL,50891,August,2017,AL
518,MOBILE,249633,August,2017,AL
519,MONROE,13879,August,2017,AL
520,MONTGOMERY,132203,August,2017,AL
521,MORGAN,69113,August,2017,AL
522,PERRY,7296,August,2017,AL
523,PICKENS,12244,August,2017,AL
524,PIKE,18615,August,2017,AL
525,RANDOLPH,14528,August,2017,AL
526,RUSSELL,31219,August,2017,AL
527,SHELBY,128617,August,2017,AL
528,ST_CLAIR,53862,August,2017,AL
529,SUMTER,8318,August,2017,AL
530,TALLADEGA,47916,August,2017,AL
531,TALLAPOOSA,26441,August,2017,AL
532,TUSCALOOSA,112714,August,2017,AL
533,WALKER,40933,August,2017,AL
534,WASHINGTON,11538,August,2017,AL
535,WILCOX,7738,August,2017,AL
536,WINSTON,14172,August,2017,AL
537,AUTAUGA,33560,September,2017,AL
538,BALDWIN,130673,September,2017,AL
539,BARBOUR,14789,September,2017,AL
540,BIBB,12203,September,2017,AL
541,BLOUNT,34382,September,2017,AL
542,BULLOCK,6625,September,2017,AL
543,BUTLER,12216,September,2017,AL
544,CALHOUN,64923,September,2017,AL
545,CHAMBERS,21122,September,2017,AL
546,CHEROKEE,15563,September,2017,AL
547,CHILTON,24774,September,2017,AL
548,CHOCTAW,9235,September,2017,AL
549,CLARKE,17085,September,2017,AL
550,CLAY,8957,September,2017,AL
551,CLEBURNE,8981,September,2017,AL
552,COFFEE,28539,September,2017,AL
553,COLBERT,35122,September,2017,AL
554,CONECUH,8889,September,2017,AL
