"year","month","fips_code","n"
2017,"January",28047,2
2017,"January",28049,2
2017,"January",28071,2
2017,"January",29019,5
2017,"January",29051,1
2017,"January",29077,6
2017,"January",29091,2
2017,"January",29095,4
2017,"January",29097,2
2017,"January",29510,8
2017,"January",30017,2
2017,"January",30029,3
2017,"January",30031,1
2017,"January",30049,2
2017,"January",30063,9
2017,"January",30111,2
2017,"January",31013,2
2017,"January",31055,5
2017,"January",31109,7
2017,"January",31131,1
2017,"January",31163,2
2017,"January",32003,12
2017,"January",32007,1
2017,"January",32031,7
2017,"January",33003,3
2017,"January",33005,5
2017,"January",33007,2
2017,"January",33009,5
2017,"January",33011,11
2017,"January",33013,2
2017,"January",33015,2
2017,"January",33017,2
2017,"January",34003,15
2017,"January",34005,3
2017,"January",34007,4
2017,"January",34013,7
2017,"January",34017,5
2017,"January",34021,2
2017,"January",34023,3
2017,"January",34025,4
2017,"January",34027,3
2017,"January",34039,5
2017,"January",35001,5
2017,"January",35005,1
2017,"January",35006,1
2017,"January",35011,1
2017,"January",35013,2
2017,"January",35017,3
2017,"January",35029,1
2017,"January",35033,1
2017,"January",35041,1
2017,"January",35047,1
2017,"January",35049,4
2017,"January",35051,2
2017,"January",35055,2
2017,"January",36001,15
2017,"January",36007,2
2017,"January",36013,1
2017,"January",36019,2
2017,"January",36021,2
2017,"January",36025,1
2017,"January",36027,2
2017,"January",36029,11
2017,"January",36031,4
2017,"January",36033,1
2017,"January",36045,2
2017,"January",36047,3
2017,"January",36055,5
2017,"January",36061,20
2017,"January",36065,2
2017,"January",36067,17
2017,"January",36071,2
2017,"January",36077,4
2017,"January",36081,3
2017,"January",36089,3
2017,"January",36095,2
2017,"January",36099,2
2017,"January",36103,8
2017,"January",36109,10
2017,"January",36111,2
2017,"January",36113,2
2017,"January",36119,4
2017,"January",37001,1
2017,"January",37009,2
2017,"January",37021,10
2017,"January",37023,2
2017,"January",37031,1
2017,"January",37049,2
2017,"January",37067,1
2017,"January",37081,8
2017,"January",37095,2
2017,"January",37097,1
2017,"January",37119,8
2017,"January",37129,5
2017,"January",37135,5
2017,"January",37147,2
2017,"January",37183,5
2017,"January",37199,1
2017,"January",38015,2
2017,"January",38017,2
2017,"January",38035,2
2017,"January",38085,3
2017,"January",39009,2
2017,"January",39023,1
2017,"January",39027,1
2017,"January",39035,5
2017,"January",39041,2
2017,"January",39049,10
2017,"January",39057,2
2017,"January",39061,5
2017,"January",39083,1
2017,"January",39095,2
2017,"January",39109,2
2017,"January",39113,5
2017,"January",39115,1
2017,"January",39123,2
2017,"January",39133,2
2017,"January",39141,2
2017,"January",39169,2
2017,"January",39173,2
2017,"January",40027,3
2017,"January",40109,2
2017,"January",40119,2
2017,"January",40143,2
2017,"January",41001,1
2017,"January",41003,2
2017,"January",41005,2
2017,"January",41007,5
2017,"January",41011,3
2017,"January",41015,4
2017,"January",41017,2
2017,"January",41019,1
2017,"January",41025,1
2017,"January",41027,2
2017,"January",41029,2
2017,"January",41033,1
2017,"January",41035,2
2017,"January",41039,12
2017,"January",41041,2
2017,"January",41047,5
2017,"January",41051,21
2017,"January",41057,2
2017,"January",41059,2
2017,"January",41061,2
2017,"January",41063,3
2017,"January",41065,2
2017,"January",41071,2
2017,"January",42003,13
2017,"January",42007,2
2017,"January",42011,2
2017,"January",42013,1
2017,"January",42015,1
2017,"January",42017,4
2017,"January",42021,1
2017,"January",42027,6
2017,"January",42029,2
2017,"January",42031,1
2017,"January",42037,1
2017,"January",42043,7
2017,"January",42049,5
2017,"January",42063,2
2017,"January",42071,5
2017,"January",42075,1
2017,"January",42079,3
2017,"January",42085,2
2017,"January",42091,1
2017,"January",42095,5
2017,"January",42101,18
2017,"January",42109,2
2017,"January",42119,2
2017,"January",44003,3
2017,"January",44005,10
2017,"January",44007,8
2017,"January",44009,1
2017,"January",45019,7
2017,"January",45045,5
2017,"January",45077,2
2017,"January",45079,5
2017,"January",46005,1
2017,"January",46027,2
2017,"January",46065,2
2017,"January",46099,2
2017,"January",46103,4
2017,"January",47001,12
2017,"January",47037,11
2017,"January",47065,4
2017,"January",47093,2
2017,"January",47141,3
2017,"January",47149,1
2017,"January",47157,2
2017,"January",47179,2
2017,"January",48029,5
2017,"January",48041,4
2017,"January",48043,1
2017,"January",48061,2
2017,"January",48113,8
2017,"January",48121,2
2017,"January",48141,4
2017,"January",48183,2
2017,"January",48201,13
2017,"January",48245,2
2017,"January",48303,2
2017,"January",48323,1
2017,"January",48329,1
2017,"January",48347,2
2017,"January",48355,1
2017,"January",48361,2
2017,"January",48375,2
2017,"January",48377,3
2017,"January",48439,2
2017,"January",48441,2
2017,"January",48453,14
2017,"January",48485,2
2017,"January",49005,1
2017,"January",49019,2
2017,"January",49025,2
2017,"January",49035,10
2017,"January",49037,1
2017,"January",49043,5
2017,"January",49053,3
2017,"January",49057,2
2017,"January",50003,3
2017,"January",50005,1
2017,"January",50007,8
2017,"January",50019,1
2017,"January",50021,4
2017,"January",50023,5
2017,"January",50025,2
2017,"January",51001,1
2017,"January",51013,4
2017,"January",51059,1
2017,"January",51063,2
2017,"January",51107,9
2017,"January",51171,2
2017,"January",51510,1
2017,"January",51540,11
2017,"January",51600,2
2017,"January",51710,10
2017,"January",51760,11
2017,"January",51770,2
2017,"January",51790,5
2017,"January",51810,3
2017,"January",51830,2
2017,"January",51840,2
2017,"January",53005,2
2017,"January",53007,5
2017,"January",53009,5
2017,"January",53011,2
2017,"January",53015,2
2017,"January",53025,2
2017,"January",53027,2
2017,"January",53029,2
2017,"January",53031,2
2017,"January",53033,18
2017,"January",53035,3
2017,"January",53037,2
2017,"January",53045,1
2017,"January",53047,2
2017,"January",53053,3
2017,"January",53055,7
2017,"January",53057,4
2017,"January",53063,5
2017,"January",53067,10
2017,"January",53069,1
2017,"January",53071,5
2017,"January",53073,9
2017,"January",53077,2
2017,"January",54027,1
2017,"January",54039,2
2017,"January",54049,3
2017,"January",54093,1
2017,"January",55007,2
2017,"January",55009,4
2017,"January",55025,2
2017,"January",55033,2
2017,"January",55035,2
2017,"January",55051,1
2017,"January",55055,2
2017,"January",55059,1
2017,"January",55063,2
2017,"January",55073,2
2017,"January",55079,9
2017,"January",55085,2
2017,"January",55087,1
2017,"January",55103,1
2017,"January",55117,4
2017,"January",55123,1
2017,"January",55125,1
2017,"January",56001,1
2017,"January",56013,2
2017,"January",56021,2
2017,"January",56025,2
2017,"January",56029,2
2017,"January",56035,2
2017,"January",56037,2
2017,"January",56039,2
2017,"January",56041,1
2017,"January",66000,2
2017,"January",72000,8
2017,"January",78000,8
2017,"January",NA,3
2017,"February",1081,3
2017,"February",1125,2
2017,"February",2020,9
2017,"February",2110,2
2017,"February",4003,8
2017,"February",4005,4
2017,"February",4013,31
2017,"February",4019,22
2017,"February",4025,3
2017,"February",4027,3
2017,"February",5007,2
2017,"February",5143,5
2017,"February",6001,4
2017,"February",6007,2
2017,"February",6013,2
2017,"February",6019,12
2017,"February",6029,5
2017,"February",6037,50
2017,"February",6045,2
2017,"February",6053,3
2017,"February",6055,7
2017,"February",6059,14
2017,"February",6061,3
2017,"February",6065,10
2017,"February",6067,15
2017,"February",6073,29
2017,"February",6075,31
2017,"February",6079,14
2017,"February",6081,5
2017,"February",6085,26
2017,"February",6111,5
2017,"February",8013,8
2017,"February",8031,38
2017,"February",8041,5
2017,"February",8067,2
2017,"February",8069,3
2017,"February",8085,2
2017,"February",8101,2
2017,"February",8107,2
2017,"February",9001,10
2017,"February",9003,11
2017,"February",9009,3
2017,"February",9013,5
2017,"February",10001,5
2017,"February",10003,3
2017,"February",11001,70
2017,"February",12001,8
2017,"February",12009,6
2017,"February",12011,3
2017,"February",12021,3
2017,"February",12033,2
2017,"February",12057,11
2017,"February",12071,4
2017,"February",12073,9
2017,"February",12086,12
2017,"February",12095,9
2017,"February",12099,21
2017,"February",12103,5
2017,"February",12109,7
2017,"February",12115,3
2017,"February",12127,8
2017,"February",13067,5
2017,"February",13121,12
2017,"February",13133,3
2017,"February",13135,7
2017,"February",13187,3
2017,"February",13245,4
2017,"February",15001,8
2017,"February",15003,5
2017,"February",15007,5
2017,"February",16001,6
2017,"February",16019,3
2017,"February",16057,3
2017,"February",17019,5
2017,"February",17029,2
2017,"February",17031,28
2017,"February",17077,3
2017,"February",17089,5
2017,"February",17097,3
2017,"February",17113,3
2017,"February",17143,6
2017,"February",18003,9
2017,"February",18039,4
2017,"February",18097,14
2017,"February",18105,3
2017,"February",18127,3
2017,"February",18141,2
2017,"February",19013,2
2017,"February",19033,2
2017,"February",19103,18
2017,"February",19153,8
2017,"February",19155,2
2017,"February",19169,3
2017,"February",20161,3
2017,"February",20173,3
2017,"February",20177,3
2017,"February",21005,3
2017,"February",21067,12
2017,"February",22007,2
2017,"February",22033,7
2017,"February",22071,2
2017,"February",22103,3
2017,"February",23005,11
2017,"February",23007,8
2017,"February",23011,8
2017,"February",23015,3
2017,"February",23025,2
2017,"February",23031,2
2017,"February",24003,10
2017,"February",24005,2
2017,"February",24021,11
2017,"February",24025,4
2017,"February",24033,2
2017,"February",24510,28
2017,"February",25003,2
2017,"February",25011,6
2017,"February",25013,4
2017,"February",25015,8
2017,"February",25025,21
2017,"February",25027,5
2017,"February",26049,3
2017,"February",26065,3
2017,"February",26073,2
2017,"February",26075,4
2017,"February",26077,9
2017,"February",26081,17
2017,"February",26093,7
2017,"February",26099,5
2017,"February",26125,9
2017,"February",26161,16
2017,"February",26163,19
2017,"February",27013,8
2017,"February",27053,5
2017,"February",27067,3
2017,"February",27109,5
2017,"February",27123,14
2017,"February",27137,2
2017,"February",27169,2
2017,"February",28003,3
2017,"February",28047,3
2017,"February",28049,4
2017,"February",28071,2
2017,"February",29019,10
2017,"February",29077,2
2017,"February",29095,9
2017,"February",29097,2
2017,"February",29189,4
2017,"February",29510,16
2017,"February",30029,2
2017,"February",30031,7
2017,"February",30049,5
2017,"February",30063,2
2017,"February",31019,2
2017,"February",31055,8
2017,"February",31079,3
2017,"February",31109,9
2017,"February",31157,2
2017,"February",32003,9
2017,"February",32031,5
2017,"February",32510,3
2017,"February",33009,2
2017,"February",33011,3
2017,"February",33013,3
2017,"February",33017,2
2017,"February",34001,3
2017,"February",34003,11
2017,"February",34005,2
2017,"February",34007,3
2017,"February",34013,2
2017,"February",34017,16
2017,"February",34019,3
2017,"February",34021,2
2017,"February",34023,5
2017,"February",34025,6
2017,"February",34027,2
2017,"February",34029,3
2017,"February",34031,3
2017,"February",34035,2
2017,"February",34039,5
2017,"February",35013,9
2017,"February",36001,16
2017,"February",36019,6
2017,"February",36021,3
2017,"February",36025,3
2017,"February",36027,4
2017,"February",36029,17
2017,"February",36047,5
2017,"February",36055,3
2017,"February",36059,7
2017,"February",36061,59
2017,"February",36067,16
2017,"February",36081,3
2017,"February",36083,2
2017,"February",36087,3
2017,"February",36089,3
2017,"February",36103,15
2017,"February",36109,20
2017,"February",36111,3
2017,"February",36119,13
2017,"February",37021,8
2017,"February",37049,2
2017,"February",37067,8
2017,"February",37089,2
2017,"February",37119,13
2017,"February",37129,3
2017,"February",37135,4
2017,"February",37147,2
2017,"February",37183,9
2017,"February",38017,3
2017,"February",39009,8
2017,"February",39025,2
2017,"February",39035,6
2017,"February",39049,5
2017,"February",39101,3
2017,"February",39113,8
2017,"February",39143,2
2017,"February",39169,3
2017,"February",40109,4
2017,"February",40119,3
2017,"February",40131,2
2017,"February",40143,6
2017,"February",41005,2
2017,"February",41019,3
2017,"February",41027,3
2017,"February",41039,4
2017,"February",41047,5
2017,"February",41051,26
2017,"February",41057,2
2017,"February",41059,4
2017,"February",42003,17
2017,"February",42029,2
2017,"February",42041,2
2017,"February",42043,3
2017,"February",42045,3
2017,"February",42049,2
2017,"February",42055,2
2017,"February",42075,2
2017,"February",42091,2
2017,"February",42095,5
2017,"February",42101,37
2017,"February",42133,2
2017,"February",44005,8
2017,"February",44007,3
2017,"February",45003,6
2017,"February",45013,5
2017,"February",45019,7
2017,"February",45045,9
2017,"February",45063,2
2017,"February",45079,7
2017,"February",45091,4
2017,"February",46103,5
2017,"February",47001,8
2017,"February",47037,21
2017,"February",47065,3
2017,"February",47093,14
2017,"February",47149,3
2017,"February",47157,7
2017,"February",47179,2
2017,"February",47187,6
2017,"February",48029,7
2017,"February",48061,2
2017,"February",48085,2
2017,"February",48113,16
2017,"February",48141,4
2017,"February",48181,2
2017,"February",48201,19
2017,"February",48309,5
2017,"February",48347,2
2017,"February",48439,5
2017,"February",48453,31
2017,"February",49035,13
2017,"February",49057,2
2017,"February",50003,2
2017,"February",50007,4
2017,"February",50021,5
2017,"February",50023,8
2017,"February",51087,5
2017,"February",51121,3
2017,"February",51153,2
2017,"February",51191,4
2017,"February",51540,10
2017,"February",51600,2
2017,"February",51760,4
2017,"February",51770,2
2017,"February",51800,4
2017,"February",51810,3
2017,"February",51830,3
2017,"February",53005,5
2017,"February",53007,8
2017,"February",53009,2
2017,"February",53011,3
2017,"February",53031,2
2017,"February",53033,13
2017,"February",53053,5
2017,"February",53057,3
2017,"February",53061,2
2017,"February",53063,3
2017,"February",53067,6
2017,"February",53073,13
2017,"February",54011,3
2017,"February",54039,6
2017,"February",54067,2
2017,"February",55009,2
2017,"February",55025,2
2017,"February",55079,15
2017,"February",55085,2
2017,"February",55105,3
2017,"February",56033,4
2017,"February",56039,3
2017,"February",NA,6
2017,"March",1073,2
2017,"March",1089,2
2017,"March",1101,4
2017,"March",2020,2
2017,"March",4003,8
2017,"March",4013,13
2017,"March",4019,27
2017,"March",4025,2
2017,"March",5051,3
2017,"March",5119,2
2017,"March",5143,2
2017,"March",6001,14
2017,"March",6013,3
2017,"March",6019,10
2017,"March",6029,2
2017,"March",6037,56
2017,"March",6055,5
2017,"March",6059,6
2017,"March",6065,5
2017,"March",6067,6
2017,"March",6071,2
2017,"March",6073,41
2017,"March",6075,16
2017,"March",6079,4
2017,"March",6083,2
2017,"March",6085,27
2017,"March",6111,5
2017,"March",8013,9
2017,"March",8031,23
2017,"March",8043,2
2017,"March",8067,2
2017,"March",8069,8
2017,"March",8077,2
2017,"March",8083,5
2017,"March",8097,2
2017,"March",8107,2
2017,"March",9001,9
2017,"March",9003,7
2017,"March",10003,5
2017,"March",11001,59
2017,"March",12001,4
2017,"March",12011,2
2017,"March",12021,7
2017,"March",12031,7
2017,"March",12043,2
2017,"March",12073,15
2017,"March",12085,3
2017,"March",12086,5
2017,"March",12095,4
2017,"March",12099,9
2017,"March",12103,3
2017,"March",12105,2
2017,"March",12127,2
2017,"March",13059,3
2017,"March",13095,2
2017,"March",13121,3
2017,"March",13127,2
2017,"March",13135,2
2017,"March",13185,2
2017,"March",15001,10
2017,"March",15003,3
2017,"March",16001,3
2017,"March",16031,2
2017,"March",17019,2
2017,"March",17031,38
2017,"March",17111,5
2017,"March",17113,5
2017,"March",17115,2
2017,"March",17167,3
2017,"March",17201,3
2017,"March",18003,8
2017,"March",18019,2
2017,"March",18097,6
2017,"March",18105,4
2017,"March",18141,2
2017,"March",18157,4
2017,"March",18167,2
2017,"March",19013,2
2017,"March",19061,2
2017,"March",19103,14
2017,"March",19153,6
2017,"March",19155,2
2017,"March",19163,3
2017,"March",19179,2
2017,"March",20045,3
2017,"March",20091,3
2017,"March",20169,2
2017,"March",20173,2
2017,"March",20177,3
2017,"March",21067,4
2017,"March",21073,2
2017,"March",21111,16
2017,"March",22033,3
2017,"March",22051,4
2017,"March",22071,5
2017,"March",22073,2
2017,"March",23005,5
2017,"March",23007,10
2017,"March",23011,7
2017,"March",23019,2
2017,"March",24003,3
2017,"March",24031,6
2017,"March",24045,2
2017,"March",24047,4
2017,"March",24510,15
2017,"March",25001,8
2017,"March",25003,3
2017,"March",25011,9
2017,"March",25013,8
2017,"March",25015,12
2017,"March",25017,5
2017,"March",25025,28
2017,"March",25027,2
2017,"March",26049,3
2017,"March",26065,9
2017,"March",26075,3
2017,"March",26077,5
2017,"March",26081,8
2017,"March",26099,3
2017,"March",26161,11
2017,"March",26163,11
2017,"March",27013,8
2017,"March",27031,2
2017,"March",27053,7
2017,"March",27109,2
2017,"March",27123,10
2017,"March",28049,3
2017,"March",28089,3
2017,"March",29019,4
2017,"March",29021,2
2017,"March",29051,4
2017,"March",29077,4
2017,"March",29095,5
2017,"March",29097,2
2017,"March",29510,3
2017,"March",30013,5
2017,"March",30029,2
2017,"March",30063,5
2017,"March",30111,3
2017,"March",31001,2
2017,"March",31055,3
2017,"March",31109,5
2017,"March",31153,2
2017,"March",32003,11
2017,"March",32031,6
2017,"March",32510,2
2017,"March",33009,2
2017,"March",34003,18
2017,"March",34007,3
2017,"March",34013,8
2017,"March",34017,10
2017,"March",34025,3
2017,"March",34027,3
2017,"March",34029,3
2017,"March",35001,4
2017,"March",35035,2
2017,"March",35045,2
2017,"March",35049,3
2017,"March",36001,11
2017,"March",36009,2
2017,"March",36013,2
2017,"March",36027,7
2017,"March",36029,17
2017,"March",36047,4
2017,"March",36055,6
2017,"March",36059,3
2017,"March",36061,27
2017,"March",36067,18
2017,"March",36081,2
2017,"March",36087,2
2017,"March",36091,2
2017,"March",36093,3
2017,"March",36101,2
2017,"March",36103,13
2017,"March",36109,8
2017,"March",36111,5
2017,"March",36113,6
2017,"March",36119,5
2017,"March",37021,3
2017,"March",37063,6
2017,"March",37067,6
2017,"March",37081,2
2017,"March",37099,2
2017,"March",37119,7
2017,"March",37129,2
2017,"March",37183,7
2017,"March",38017,2
2017,"March",39017,2
2017,"March",39023,2
2017,"March",39035,3
2017,"March",39049,15
2017,"March",39061,2
2017,"March",39095,2
2017,"March",39113,4
2017,"March",39153,2
2017,"March",39155,2
2017,"March",39173,2
2017,"March",40109,10
2017,"March",40143,7
2017,"March",41003,2
2017,"March",41017,2
2017,"March",41027,2
2017,"March",41029,3
2017,"March",41035,2
2017,"March",41037,2
2017,"March",41039,4
2017,"March",41047,7
2017,"March",41051,17
2017,"March",41059,2
2017,"March",42003,8
2017,"March",42007,2
2017,"March",42011,3
2017,"March",42035,3
2017,"March",42049,3
2017,"March",42071,2
2017,"March",42085,3
2017,"March",42095,2
2017,"March",42101,26
2017,"March",42133,2
2017,"March",44005,8
2017,"March",44007,20
2017,"March",45003,4
2017,"March",45013,5
2017,"March",45045,2
2017,"March",45091,4
2017,"March",46065,2
2017,"March",46099,2
2017,"March",47001,8
2017,"March",47037,5
2017,"March",47059,2
