"","county","count","year","month","state"
"118","WASHINGTON","94676",2017,"05","MD"
"119","WICOMICO","61161",2017,"05","MD"
"120","WORCESTER","38468",2017,"05","MD"
"121","ALLEGANY","43344",2017,"06","MD"
"122","ANNE ARUNDEL","383003",2017,"06","MD"
"123","BALTIMORE CITY","387734",2017,"06","MD"
"124","BALTIMORE CO.","551462",2017,"06","MD"
"125","CALVERT","64241",2017,"06","MD"
"126","CAROLINE","20065",2017,"06","MD"
"127","CARROLL","121532",2017,"06","MD"
"128","CECIL","64334",2017,"06","MD"
"129","CHARLES","110266",2017,"06","MD"
"130","DORCHESTER","21143",2017,"06","MD"
"131","FREDERICK","167782",2017,"06","MD"
"132","GARRETT","19759",2017,"06","MD"
"133","HARFORD","178208",2017,"06","MD"
"134","HOWARD","212081",2017,"06","MD"
"135","KENT","12988",2017,"06","MD"
"136","MONTGOMERY","644531",2017,"06","MD"
"137","PR. GEORGE'S","579936",2017,"06","MD"
"138","QUEEN ANNE'S","35514",2017,"06","MD"
"139","ST. MARY'S","69920",2017,"06","MD"
"140","SOMERSET","13069",2017,"06","MD"
"141","TALBOT","26965",2017,"06","MD"
"142","WASHINGTON","94667",2017,"06","MD"
"143","WICOMICO","61325",2017,"06","MD"
"144","WORCESTER","38395",2017,"06","MD"
"145","ALLEGANY","43168",2017,"07","MD"
"146","ANNE ARUNDEL","381598",2017,"07","MD"
"147","BALTIMORE CITY","388423",2017,"07","MD"
"148","BALTIMORE CO.","550431",2017,"07","MD"
"149","CALVERT","64218",2017,"07","MD"
"150","CAROLINE","20033",2017,"07","MD"
"151","CARROLL","121242",2017,"07","MD"
"152","CECIL","63872",2017,"07","MD"
"153","CHARLES","110228",2017,"07","MD"
"154","DORCHESTER","21155",2017,"07","MD"
"155","FREDERICK","167515",2017,"07","MD"
"156","GARRETT","19644",2017,"07","MD"
"157","HARFORD","178084",2017,"07","MD"
"158","HOWARD","211523",2017,"07","MD"
"159","KENT","12967",2017,"07","MD"
"160","MONTGOMERY","645354",2017,"07","MD"
"161","PR. GEORGE'S","572251",2017,"07","MD"
"162","QUEEN ANNE'S","35472",2017,"07","MD"
"163","ST. MARY'S","70151",2017,"07","MD"
"164","SOMERSET","13037",2017,"07","MD"
"165","TALBOT","26917",2017,"07","MD"
"166","WASHINGTON","94351",2017,"07","MD"
"167","WICOMICO","60972",2017,"07","MD"
"168","WORCESTER","38316",2017,"07","MD"
"169","ALLEGANY","43101",2017,"08","MD"
"170","ANNE ARUNDEL","381073",2017,"08","MD"
"171","BALTIMORE CITY","384801",2017,"08","MD"
"172","BALTIMORE CO.","548872",2017,"08","MD"
"173","CALVERT","64129",2017,"08","MD"
"174","CAROLINE","20029",2017,"08","MD"
"175","CARROLL","121111",2017,"08","MD"
"176","CECIL","63757",2017,"08","MD"
"177","CHARLES","110054",2017,"08","MD"
"178","DORCHESTER","21154",2017,"08","MD"
"179","FREDERICK","167258",2017,"08","MD"
"180","GARRETT","19632",2017,"08","MD"
"181","HARFORD","177993",2017,"08","MD"
"182","HOWARD","212244",2017,"08","MD"
"183","KENT","12943",2017,"08","MD"
"184","MONTGOMERY","644087",2017,"08","MD"
"185","PR. GEORGE'S","572554",2017,"08","MD"
"186","QUEEN ANNE'S","35406",2017,"08","MD"
"187","ST. MARY'S","69631",2017,"08","MD"
"188","SOMERSET","12963",2017,"08","MD"
"189","TALBOT","26886",2017,"08","MD"
"190","WASHINGTON","94149",2017,"08","MD"
"191","WICOMICO","60968",2017,"08","MD"
"192","WORCESTER","38264",2017,"08","MD"
"193","ALLEGANY","43199",2017,"09","MD"
"194","ANNE ARUNDEL","381795",2017,"09","MD"
"195","BALTIMORE CITY","385012",2017,"09","MD"
"196","BALTIMORE CO.","549435",2017,"09","MD"
"197","CALVERT","64292",2017,"09","MD"
"198","CAROLINE","20080",2017,"09","MD"
"199","CARROLL","121340",2017,"09","MD"
"200","CECIL","63952",2017,"09","MD"
"201","CHARLES","110324",2017,"09","MD"
"202","DORCHESTER","21202",2017,"09","MD"
"203","FREDERICK","168027",2017,"09","MD"
"204","GARRETT","19668",2017,"09","MD"
"205","HARFORD","178533",2017,"09","MD"
"206","HOWARD","212900",2017,"09","MD"
"207","KENT","12969",2017,"09","MD"
"208","MONTGOMERY","645705",2017,"09","MD"
"209","PR. GEORGE'S","575155",2017,"09","MD"
"210","QUEEN ANNE'S","35469",2017,"09","MD"
"211","ST. MARY'S","69819",2017,"09","MD"
"212","SOMERSET","12983",2017,"09","MD"
"213","TALBOT","26936",2017,"09","MD"
"214","WASHINGTON","94379",2017,"09","MD"
"215","WICOMICO","61066",2017,"09","MD"
"216","WORCESTER","38377",2017,"09","MD"
"217","ALLEGANY","43281",2017,"10","MD"
"218","ANNE ARUNDEL","382473",2017,"10","MD"
"219","BALTIMORE CITY","385271",2017,"10","MD"
"220","BALTIMORE CO.","550003",2017,"10","MD"
"221","CALVERT","64489",2017,"10","MD"
"222","CAROLINE","20109",2017,"10","MD"
"223","CARROLL","121535",2017,"10","MD"
"224","CECIL","64159",2017,"10","MD"
"225","CHARLES","110633",2017,"10","MD"
"226","DORCHESTER","21248",2017,"10","MD"
"227","FREDERICK","168494",2017,"10","MD"
"228","GARRETT","19717",2017,"10","MD"
"229","HARFORD","178987",2017,"10","MD"
"230","HOWARD","213382",2017,"10","MD"
"231","KENT","12993",2017,"10","MD"
"232","MONTGOMERY","647388",2017,"10","MD"
"233","PR. GEORGE'S","576320",2017,"10","MD"
"234","QUEEN ANNE'S","35556",2017,"10","MD"
"235","ST. MARY'S","70116",2017,"10","MD"
"236","SOMERSET","13030",2017,"10","MD"
"237","TALBOT","26981",2017,"10","MD"
"238","WASHINGTON","94647",2017,"10","MD"
"239","WICOMICO","61200",2017,"10","MD"
"240","WORCESTER","38451",2017,"10","MD"
"241","ALLEGANY","43054",2017,"11","MD"
"242","ANNE ARUNDEL","381947",2017,"11","MD"
"243","BALTIMORE CITY","383463",2017,"11","MD"
"244","BALTIMORE CO.","547926",2017,"11","MD"
"245","CALVERT","64263",2017,"11","MD"
"246","CAROLINE","20049",2017,"11","MD"
"247","CARROLL","121172",2017,"11","MD"
