"","year","month","fips_code","n"
"200",2017,"January",23031,4
"201",2017,"January",24003,2
"202",2017,"January",24021,2
"203",2017,"January",24023,1
"204",2017,"January",24027,4
"205",2017,"January",24033,1
"206",2017,"January",24037,1
"207",2017,"January",24045,2
"208",2017,"January",24047,2
"209",2017,"January",24510,13
"210",2017,"January",25001,9
"211",2017,"January",25003,2
"212",2017,"January",25007,5
"213",2017,"January",25011,4
"214",2017,"January",25013,1
"215",2017,"January",25015,7
"216",2017,"January",25019,2
"217",2017,"January",25023,1
"218",2017,"January",25025,21
"219",2017,"January",25027,2
"220",2017,"January",26001,1
"221",2017,"January",26005,4
"222",2017,"January",26021,1
"223",2017,"January",26029,1
"224",2017,"January",26033,1
"225",2017,"January",26035,1
"226",2017,"January",26055,4
"227",2017,"January",26061,2
"228",2017,"January",26065,2
"229",2017,"January",26077,2
"230",2017,"January",26081,8
"231",2017,"January",26083,1
"232",2017,"January",26091,3
"233",2017,"January",26093,2
"234",2017,"January",26103,2
"235",2017,"January",26111,2
"236",2017,"January",26115,2
"237",2017,"January",26127,1
"238",2017,"January",26145,1
"239",2017,"January",26161,12
"240",2017,"January",26163,13
"241",2017,"January",27007,2
"242",2017,"January",27013,11
"243",2017,"January",27021,1
"244",2017,"January",27031,2
"245",2017,"January",27053,17
"246",2017,"January",27059,1
"247",2017,"January",27083,1
"248",2017,"January",27109,5
"249",2017,"January",27123,10
"250",2017,"January",27137,3
"251",2017,"January",27141,1
"252",2017,"January",27149,2
"253",2017,"January",28035,1
"254",2017,"January",28047,2
"255",2017,"January",28049,2
"256",2017,"January",28071,2
"257",2017,"January",29019,5
"258",2017,"January",29051,1
"259",2017,"January",29077,6
"260",2017,"January",29091,2
"261",2017,"January",29095,4
"262",2017,"January",29097,2
"263",2017,"January",29510,8
"264",2017,"January",30017,2
"265",2017,"January",30029,3
"266",2017,"January",30031,1
"267",2017,"January",30049,2
"268",2017,"January",30063,9
"269",2017,"January",30111,2
"270",2017,"January",31013,2
"271",2017,"January",31055,5
"272",2017,"January",31109,7
"273",2017,"January",31131,1
"274",2017,"January",31163,2
"275",2017,"January",32003,12
"276",2017,"January",32007,1
"277",2017,"January",32031,7
"278",2017,"January",33003,3
"279",2017,"January",33005,5
"280",2017,"January",33007,2
"281",2017,"January",33009,5
"282",2017,"January",33011,11
"283",2017,"January",33013,2
"284",2017,"January",33015,2
"285",2017,"January",33017,2
"286",2017,"January",34003,15
"287",2017,"January",34005,3
"288",2017,"January",34007,4
"289",2017,"January",34013,7
"290",2017,"January",34017,5
"291",2017,"January",34021,2
"292",2017,"January",34023,3
"293",2017,"January",34025,4
"294",2017,"January",34027,3
"295",2017,"January",34039,5
"296",2017,"January",35001,9
"297",2017,"January",35005,1
"298",2017,"January",35006,1
"299",2017,"January",35011,1
"300",2017,"January",35013,2
"301",2017,"January",35017,3
"302",2017,"January",35029,1
"303",2017,"January",35033,1
"304",2017,"January",35041,1
"305",2017,"January",35047,1
"306",2017,"January",35049,4
"307",2017,"January",35051,2
"308",2017,"January",35055,2
"309",2017,"January",36001,15
"310",2017,"January",36007,2
"311",2017,"January",36013,1
"312",2017,"January",36019,2
"313",2017,"January",36021,2
"314",2017,"January",36025,1
"315",2017,"January",36027,2
"316",2017,"January",36029,11
"317",2017,"January",36031,4
"318",2017,"January",36033,1
"319",2017,"January",36045,2
"320",2017,"January",36047,3
"321",2017,"January",36055,5
"322",2017,"January",36061,24
"323",2017,"January",36065,2
"324",2017,"January",36067,17
"325",2017,"January",36071,2
"326",2017,"January",36077,4
"327",2017,"January",36081,3
"328",2017,"January",36089,3
"329",2017,"January",36095,2
"330",2017,"January",36099,2
"331",2017,"January",36103,8
"332",2017,"January",36109,10
"333",2017,"January",36111,2
"334",2017,"January",36113,2
"335",2017,"January",36119,4
"336",2017,"January",37001,1
"337",2017,"January",37009,2
"338",2017,"January",37021,10
"339",2017,"January",37023,2
"340",2017,"January",37031,1
"341",2017,"January",37049,2
"342",2017,"January",37067,1
"343",2017,"January",37081,8
"344",2017,"January",37095,2
"345",2017,"January",37097,1
"346",2017,"January",37119,11
"347",2017,"January",37129,5
"348",2017,"January",37135,5
"349",2017,"January",37147,2
"350",2017,"January",37183,5
"351",2017,"January",37199,1
"352",2017,"January",38015,2
"353",2017,"January",38017,2
"354",2017,"January",38035,2
"355",2017,"January",38085,3
