"","county","count","year","month","state"
"133","Okmulgee",19523,"2017","10","OK"
"134","Osage",25413,"2017","10","OK"
"135","Ottawa",15831,"2017","10","OK"
"136","Pawnee",8568,"2017","10","OK"
"137","Payne",37871,"2017","10","OK"
"138","Pittsburg",25375,"2017","10","OK"
"139","Pontotoc",20757,"2017","10","OK"
"140","Pottawatomie",36341,"2017","10","OK"
"141","Pushmataha",6738,"2017","10","OK"
"142","Roger Mills",2272,"2017","10","OK"
"143","Rogers",52968,"2017","10","OK"
"144","Seminole",11408,"2017","10","OK"
"145","Sequoyah",20547,"2017","10","OK"
"146","Stephens",25303,"2017","10","OK"
"147","Texas",8530,"2017","10","OK"
"148","Tillman",3927,"2017","10","OK"
"149","Tulsa",332553,"2017","10","OK"
"150","Wagoner",39640,"2017","10","OK"
"151","Washington",30093,"2017","10","OK"
"152","Washita",6335,"2017","10","OK"
"153","Woods",4678,"2017","10","OK"
"154","Woodward",10499,"2017","10","OK"
"155","Adair",10564,"2017","11","OK"
"156","Alfalfa",2804,"2017","11","OK"
"157","Atoka",7150,"2017","11","OK"
"158","Beaver",2990,"2017","11","OK"
"159","Beckham",10825,"2017","11","OK"
"160","Blaine",5158,"2017","11","OK"
"161","Bryan",22722,"2017","11","OK"
"162","Caddo",13166,"2017","11","OK"
"163","Canadian",73691,"2017","11","OK"
"164","Carter",28698,"2017","11","OK"
"165","Cherokee",22777,"2017","11","OK"
"166","Choctaw",8148,"2017","11","OK"
"167","Cimarron",1543,"2017","11","OK"
"168","Cleveland",149437,"2017","11","OK"
"169","Coal",3641,"2017","11","OK"
"170","Comanche",51264,"2017","11","OK"
"171","Cotton",3508,"2017","11","OK"
"172","Craig",7607,"2017","11","OK"
"173","Creek",37652,"2017","11","OK"
"174","Custer",15500,"2017","11","OK"
"175","Delaware",21477,"2017","11","OK"
"176","Dewey",2833,"2017","11","OK"
"177","Ellis",2418,"2017","11","OK"
"178","Garfield",28840,"2017","11","OK"
"179","Garvin",14867,"2017","11","OK"
"180","Grady",30741,"2017","11","OK"
"181","Grant",2766,"2017","11","OK"
"182","Greer",2645,"2017","11","OK"
"183","Harmon",1358,"2017","11","OK"
"184","Harper",1921,"2017","11","OK"
"185","Haskell",6604,"2017","11","OK"
"186","Hughes",6395,"2017","11","OK"
"187","Jackson",11041,"2017","11","OK"
"188","Jefferson",3345,"2017","11","OK"
"189","Johnston",5801,"2017","11","OK"
"190","Kay",23232,"2017","11","OK"
"191","Kingfisher",7854,"2017","11","OK"
"192","Kiowa",4706,"2017","11","OK"
"193","Latimer",5957,"2017","11","OK"
"194","LeFlore",26195,"2017","11","OK"
"195","Lincoln",18584,"2017","11","OK"
"196","Logan",25470,"2017","11","OK"
"197","Love",5820,"2017","11","OK"
"198","Major",4168,"2017","11","OK"
"199","Marshall",7783,"2017","11","OK"
"200","Mayes",20997,"2017","11","OK"
"201","McClain",22535,"2017","11","OK"
"202","McCurtain",15094,"2017","11","OK"
"203","McIntosh",11361,"2017","11","OK"
"204","Murray",7429,"2017","11","OK"
"205","Muskogee",35630,"2017","11","OK"
"206","Noble",6128,"2017","11","OK"
"207","Nowata",5768,"2017","11","OK"
"208","Okfuskee",5678,"2017","11","OK"
"209","Oklahoma",385289,"2017","11","OK"
"210","Okmulgee",19514,"2017","11","OK"
"211","Osage",25447,"2017","11","OK"
"212","Ottawa",15867,"2017","11","OK"
"213","Pawnee",8512,"2017","11","OK"
"214","Payne",37912,"2017","11","OK"
"215","Pittsburg",25411,"2017","11","OK"
"216","Pontotoc",20757,"2017","11","OK"
"217","Pottawatomie",36327,"2017","11","OK"
"218","Pushmataha",6744,"2017","11","OK"
"219","Roger Mills",2276,"2017","11","OK"
"220","Rogers",52957,"2017","11","OK"
"221","Seminole",11418,"2017","11","OK"
"222","Sequoyah",20560,"2017","11","OK"
"223","Stephens",25333,"2017","11","OK"
"224","Texas",8546,"2017","11","OK"
"225","Tillman",3937,"2017","11","OK"
"226","Tulsa",333332,"2017","11","OK"
"227","Wagoner",39623,"2017","11","OK"
"228","Washington",30154,"2017","11","OK"
"229","Washita",6338,"2017","11","OK"
"230","Woods",4675,"2017","11","OK"
"231","Woodward",10522,"2017","11","OK"
"232","Adair",10573,"2017","12","OK"
"233","Alfalfa",2812,"2017","12","OK"
"234","Atoka",7151,"2017","12","OK"
"235","Beaver",2990,"2017","12","OK"
"236","Beckham",10826,"2017","12","OK"
"237","Blaine",5157,"2017","12","OK"
"238","Bryan",22779,"2017","12","OK"
"239","Caddo",13176,"2017","12","OK"
"240","Canadian",73816,"2017","12","OK"
"241","Carter",28728,"2017","12","OK"
"242","Cherokee",22756,"2017","12","OK"
"243","Choctaw",8169,"2017","12","OK"
"244","Cimarron",1548,"2017","12","OK"
"245","Cleveland",149556,"2017","12","OK"
"246","Coal",3665,"2017","12","OK"
"247","Comanche",51396,"2017","12","OK"
"248","Cotton",3512,"2017","12","OK"
"249","Craig",7602,"2017","12","OK"
"250","Creek",37654,"2017","12","OK"
"251","Custer",15521,"2017","12","OK"
"252","Delaware",21537,"2017","12","OK"
"253","Dewey",2843,"2017","12","OK"
"254","Ellis",2426,"2017","12","OK"
"255","Garfield",28855,"2017","12","OK"
"256","Garvin",14872,"2017","12","OK"
"257","Grady",30712,"2017","12","OK"
"258","Grant",2763,"2017","12","OK"
"259","Greer",2653,"2017","12","OK"
"260","Harmon",1355,"2017","12","OK"
"261","Harper",1924,"2017","12","OK"
"262","Haskell",6610,"2017","12","OK"
