"","county","count","month","year","state"
"124","HOT SPRINGS",2671,"June","2017","WY"
"125","JOHNSON",4585,"June","2017","WY"
"126","LARAMIE",42130,"June","2017","WY"
"127","LINCOLN",9168,"June","2017","WY"
"128","NATRONA",33881,"June","2017","WY"
"129","NIOBRARA",1349,"June","2017","WY"
"130","PARK",15585,"June","2017","WY"
"131","PLATTE",4659,"June","2017","WY"
"132","SHERIDAN",14944,"June","2017","WY"
"133","SUBLETTE",4526,"June","2017","WY"
"134","SWEETWATER",17431,"June","2017","WY"
"135","TETON",13275,"June","2017","WY"
"136","UINTA",8723,"June","2017","WY"
"137","WASHAKIE",3974,"June","2017","WY"
"138","WESTON",3634,"June","2017","WY"
"139","ALBANY",17325,"July","2017","WY"
"140","BIG HORN",5544,"July","2017","WY"
"141","CAMPBELL",18629,"July","2017","WY"
"142","CARBON",6612,"July","2017","WY"
"143","CONVERSE",6744,"July","2017","WY"
"144","CROOK",3928,"July","2017","WY"
"145","FREMONT",17421,"July","2017","WY"
"146","GOSHEN",6000,"July","2017","WY"
"147","HOT SPRINGS",2669,"July","2017","WY"
"148","JOHNSON",4583,"July","2017","WY"
"149","LARAMIE",42119,"July","2017","WY"
"150","LINCOLN",9172,"July","2017","WY"
"151","NATRONA",33867,"July","2017","WY"
"152","NIOBRARA",1349,"July","2017","WY"
"153","PARK",15583,"July","2017","WY"
"154","PLATTE",4659,"July","2017","WY"
"155","SHERIDAN",14961,"July","2017","WY"
"156","SUBLETTE",4528,"July","2017","WY"
"157","SWEETWATER",17424,"July","2017","WY"
"158","TETON",13299,"July","2017","WY"
"159","UINTA",8727,"July","2017","WY"
"160","WASHAKIE",3974,"July","2017","WY"
"161","WESTON",3639,"July","2017","WY"
"162","ALBANY",17344,"August","2017","WY"
"163","BIG HORN",5544,"August","2017","WY"
"164","CAMPBELL",18626,"August","2017","WY"
"165","CARBON",6620,"August","2017","WY"
"166","CONVERSE",6743,"August","2017","WY"
"167","CROOK",3928,"August","2017","WY"
"168","FREMONT",17421,"August","2017","WY"
"169","GOSHEN",6000,"August","2017","WY"
"170","HOT SPRINGS",2670,"August","2017","WY"
"171","JOHNSON",4583,"August","2017","WY"
"172","LARAMIE",42082,"August","2017","WY"
"173","LINCOLN",9176,"August","2017","WY"
"174","NATRONA",33859,"August","2017","WY"
"175","NIOBRARA",1349,"August","2017","WY"
"176","PARK",15565,"August","2017","WY"
"177","PLATTE",4659,"August","2017","WY"
"178","SHERIDAN",14974,"August","2017","WY"
"179","SUBLETTE",4530,"August","2017","WY"
"180","SWEETWATER",17418,"August","2017","WY"
"181","TETON",13313,"August","2017","WY"
"182","UINTA",8731,"August","2017","WY"
"183","WASHAKIE",3975,"August","2017","WY"
"184","WESTON",3640,"August","2017","WY"
"185","ALBANY",17372,"September","2017","WY"
"186","BIG HORN",5543,"September","2017","WY"
"187","CAMPBELL",18612,"September","2017","WY"
"188","CARBON",6626,"September","2017","WY"
"189","CONVERSE",6738,"September","2017","WY"
"190","CROOK",3936,"September","2017","WY"
"191","FREMONT",17413,"September","2017","WY"
"192","GOSHEN",5995,"September","2017","WY"
"193","HOT SPRINGS",2665,"September","2017","WY"
"194","JOHNSON",4582,"September","2017","WY"
"195","LARAMIE",42088,"September","2017","WY"
"196","LINCOLN",9167,"September","2017","WY"
"197","NATRONA",33832,"September","2017","WY"
"198","NIOBRARA",1345,"September","2017","WY"
"199","PARK",15562,"September","2017","WY"
"200","PLATTE",4663,"September","2017","WY"
"201","SHERIDAN",14951,"September","2017","WY"
"202","SUBLETTE",4529,"September","2017","WY"
"203","SWEETWATER",17410,"September","2017","WY"
"204","TETON",13318,"September","2017","WY"
"205","UINTA",8733,"September","2017","WY"
"206","WASHAKIE",3975,"September","2017","WY"
"207","WESTON",3623,"September","2017","WY"
