"","county","count","month","year","state"
"134","Adams",2467,"4","2017","ID"
"135","Bannock",39707,"4","2017","ID"
"136","Bear Lake",3300,"4","2017","ID"
"137","Benewah",4980,"4","2017","ID"
"138","Bingham",18959,"4","2017","ID"
"139","Blaine",12188,"4","2017","ID"
"140","Boise",4408,"4","2017","ID"
"141","Bonner",24394,"4","2017","ID"
"142","Bonneville",50461,"4","2017","ID"
"143","Boundary",5982,"4","2017","ID"
"144","Butte",1441,"4","2017","ID"
"145","Camas",662,"4","2017","ID"
"146","Canyon",83773,"4","2017","ID"
"147","Caribou",3599,"4","2017","ID"
"148","Cassia",9260,"4","2017","ID"
"149","Clark",353,"4","2017","ID"
"150","Clearwater",4315,"4","2017","ID"
"151","Custer",2754,"4","2017","ID"
"152","Elmore",9916,"4","2017","ID"
"153","Franklin",6138,"4","2017","ID"
"154","Fremont",6564,"4","2017","ID"
"155","Gem",9180,"4","2017","ID"
"156","Gooding",6037,"4","2017","ID"
"157","Idaho",9358,"4","2017","ID"
"158","Jefferson",12995,"4","2017","ID"
"159","Jerome",7816,"4","2017","ID"
"160","Kootenai",76126,"4","2017","ID"
"161","Latah",21639,"4","2017","ID"
"162","Lemhi",4727,"4","2017","ID"
"163","Lewis",1913,"4","2017","ID"
"164","Lincoln",2029,"4","2017","ID"
"165","Madison",18046,"4","2017","ID"
"166","Minidoka",7708,"4","2017","ID"
"167","Nez Perce",20889,"4","2017","ID"
"168","Oneida",2421,"4","2017","ID"
"169","Owyhee",4764,"4","2017","ID"
"170","Payette",10416,"4","2017","ID"
"171","Power",3234,"4","2017","ID"
"172","Shoshone",6268,"4","2017","ID"
"173","Teton",5840,"4","2017","ID"
"174","Twin Falls",34413,"4","2017","ID"
"175","Valley",6016,"4","2017","ID"
"176","Washington",5019,"4","2017","ID"
"177","Ada",227068,"5","2017","ID"
"178","Adams",2466,"5","2017","ID"
"179","Bannock",39667,"5","2017","ID"
"180","Bear Lake",3304,"5","2017","ID"
"181","Benewah",4976,"5","2017","ID"
"182","Bingham",18937,"5","2017","ID"
"183","Blaine",12194,"5","2017","ID"
"184","Boise",4405,"5","2017","ID"
"185","Bonner",24397,"5","2017","ID"
"186","Bonneville",50394,"5","2017","ID"
"187","Boundary",5984,"5","2017","ID"
"188","Butte",1441,"5","2017","ID"
"189","Camas",663,"5","2017","ID"
"190","Canyon",83733,"5","2017","ID"
"191","Caribou",3594,"5","2017","ID"
"192","Cassia",9259,"5","2017","ID"
"193","Clark",353,"5","2017","ID"
"194","Clearwater",4311,"5","2017","ID"
"195","Custer",2750,"5","2017","ID"
"196","Elmore",9881,"5","2017","ID"
"197","Franklin",6128,"5","2017","ID"
"198","Fremont",6549,"5","2017","ID"
"199","Gem",9179,"5","2017","ID"
"200","Gooding",6027,"5","2017","ID"
"201","Idaho",9356,"5","2017","ID"
"202","Jefferson",12987,"5","2017","ID"
"203","Jerome",7815,"5","2017","ID"
"204","Kootenai",76125,"5","2017","ID"
"205","Latah",21627,"5","2017","ID"
"206","Lemhi",4716,"5","2017","ID"
"207","Lewis",1910,"5","2017","ID"
"208","Lincoln",2030,"5","2017","ID"
"209","Madison",18042,"5","2017","ID"
"210","Minidoka",7695,"5","2017","ID"
"211","Nez Perce",20843,"5","2017","ID"
"212","Oneida",2417,"5","2017","ID"
"213","Owyhee",4770,"5","2017","ID"
"214","Payette",10412,"5","2017","ID"
"215","Power",3228,"5","2017","ID"
"216","Shoshone",6261,"5","2017","ID"
"217","Teton",5840,"5","2017","ID"
"218","Twin Falls",34380,"5","2017","ID"
"219","Valley",6009,"5","2017","ID"
"220","Washington",5017,"5","2017","ID"
"221","Ada",NA,"6","2017","ID"
"222","Adams",NA,"6","2017","ID"
"223","Bannock",NA,"6","2017","ID"
"224","Bear Lake",NA,"6","2017","ID"
"225","Benewah",NA,"6","2017","ID"
"226","Bingham",NA,"6","2017","ID"
"227","Blaine",NA,"6","2017","ID"
"228","Boise",NA,"6","2017","ID"
"229","Bonner",NA,"6","2017","ID"
"230","Bonneville",NA,"6","2017","ID"
"231","Boundary",NA,"6","2017","ID"
"232","Butte",NA,"6","2017","ID"
"233","Camas",NA,"6","2017","ID"
"234","Canyon",NA,"6","2017","ID"
"235","Caribou",NA,"6","2017","ID"
"236","Cassia",NA,"6","2017","ID"
"237","Clark",NA,"6","2017","ID"
"238","Clearwater",NA,"6","2017","ID"
"239","Custer",NA,"6","2017","ID"
"240","Elmore",NA,"6","2017","ID"
"241","Franklin",NA,"6","2017","ID"
"242","Fremont",NA,"6","2017","ID"
"243","Gem",NA,"6","2017","ID"
"244","Gooding",NA,"6","2017","ID"
"245","Idaho",NA,"6","2017","ID"
"246","Jefferson",NA,"6","2017","ID"
