"","county","count","month","year","state"
"122","SALEM","43830","June","2017","NJ"
"123","SOMERSET","223208","June","2017","NJ"
"124","SUSSEX","102782","June","2017","NJ"
"125","UNION","321637","June","2017","NJ"
"126","WARREN","72979","June","2017","NJ"
"127","ATLANTIC","178133","July","2017","NJ"
"128","BERGEN","587620","July","2017","NJ"
"129","BURLINGTON","308328","July","2017","NJ"
"130","CAMDEN","347630","July","2017","NJ"
"131","CAPE MAY","69730","July","2017","NJ"
"132","CUMBERLAND","89531","July","2017","NJ"
"133","ESSEX","485081","July","2017","NJ"
"134","GLOUCESTER","205990","July","2017","NJ"
"135","HUDSON","340591","July","2017","NJ"
"136","HUNTERDON","95848","July","2017","NJ"
"137","MERCER","231453","July","2017","NJ"
"138","MIDDLESEX","491665","July","2017","NJ"
"139","MONMOUTH","442057","July","2017","NJ"
"140","MORRIS","349132","July","2017","NJ"
"141","OCEAN","399027","July","2017","NJ"
"142","PASSAIC","302416","July","2017","NJ"
"143","SALEM","43903","July","2017","NJ"
"144","SOMERSET","223337","July","2017","NJ"
"145","SUSSEX","102537","July","2017","NJ"
"146","UNION","322926","July","2017","NJ"
"147","WARREN","72893","July","2017","NJ"
"148","ATLANTIC","178116","August","2017","NJ"
"149","BERGEN","589132","August","2017","NJ"
"150","BURLINGTON","309157","August","2017","NJ"
"151","CAMDEN","348651","August","2017","NJ"
"152","CAPE MAY","69824","August","2017","NJ"
"153","CUMBERLAND","89791","August","2017","NJ"
"154","ESSEX","487015","August","2017","NJ"
"155","GLOUCESTER","206500","August","2017","NJ"
"156","HUDSON","341555","August","2017","NJ"
"157","HUNTERDON","95871","August","2017","NJ"
"158","MERCER","232025","August","2017","NJ"
"159","MIDDLESEX","493508","August","2017","NJ"
"160","MONMOUTH","443250","August","2017","NJ"
"161","MORRIS","350018","August","2017","NJ"
"162","OCEAN","399355","August","2017","NJ"
"163","PASSAIC","302722","August","2017","NJ"
"164","SALEM","43987","August","2017","NJ"
"165","SOMERSET","224086","August","2017","NJ"
"166","SUSSEX","102938","August","2017","NJ"
"167","UNION","323464","August","2017","NJ"
"168","WARREN","73041","August","2017","NJ"
"169","ATLANTIC","178008","September","2017","NJ"
