"","county","count","year","month","state"
"120","002  ALLEN","14571","2017","March","KY"
"121","003  ANDERSON","17840","2017","March","KY"
"122","004  BALLARD","6406","2017","March","KY"
"123","005  BARREN","30922","2017","March","KY"
"124","006  BATH","9255","2017","March","KY"
"125","007  BELL","21094","2017","March","KY"
"126","008  BOONE","99547","2017","March","KY"
"127","009  BOURBON","14620","2017","March","KY"
"128","010  BOYD","39376","2017","March","KY"
"129","011  BOYLE","21697","2017","March","KY"
"130","012  BRACKEN","6339","2017","March","KY"
"131","013  BREATHITT","11657","2017","March","KY"
"132","014  BRECKINRIDGE","15032","2017","March","KY"
"133","015  BULLITT","58183","2017","March","KY"
"134","016  BUTLER","9417","2017","March","KY"
"135","017  CALDWELL","10097","2017","March","KY"
"136","018  CALLOWAY","29462","2017","March","KY"
"137","019  CAMPBELL","72137","2017","March","KY"
"138","020  CARLISLE","4038","2017","March","KY"
"139","021  CARROLL","7851","2017","March","KY"
"140","022  CARTER","19806","2017","March","KY"
"141","023  CASEY","10936","2017","March","KY"
"142","024  CHRISTIAN","50312","2017","March","KY"
"143","025  CLARK","28324","2017","March","KY"
"144","026  CLAY","14610","2017","March","KY"
"145","027  CLINTON","7476","2017","March","KY"
"146","028  CRITTENDEN","6682","2017","March","KY"
"147","029  CUMBERLAND","5377","2017","March","KY"
"148","030  DAVIESS","72962","2017","March","KY"
"149","031  EDMONSON","9028","2017","March","KY"
"150","032  ELLIOTT","5163","2017","March","KY"
"151","033  ESTILL","10529","2017","March","KY"
"152","034  FAYETTE","225679","2017","March","KY"
"153","035  FLEMING","10777","2017","March","KY"
"154","036  FLOYD","30400","2017","March","KY"
"155","037  FRANKLIN","36659","2017","March","KY"
"156","038  FULTON","5461","2017","March","KY"
"157","039  GALLATIN","6367","2017","March","KY"
"158","040  GARRARD","13062","2017","March","KY"
"159","041  GRANT","17835","2017","March","KY"
"160","042  GRAVES","25478","2017","March","KY"
"161","043  GRAYSON","18178","2017","March","KY"
"162","044  GREEN","8751","2017","March","KY"
"163","045  GREENUP","29061","2017","March","KY"
"164","046  HANCOCK","6737","2017","March","KY"
"165","047  HARDIN","80939","2017","March","KY"
"166","048  HARLAN","20569","2017","March","KY"
"167","049  HARRISON","13522","2017","March","KY"
"168","050  HART","13239","2017","March","KY"
"169","051  HENDERSON","34915","2017","March","KY"
"170","052  HENRY","11942","2017","March","KY"
"171","053  HICKMAN","3738","2017","March","KY"
"172","054  HOPKINS","34703","2017","March","KY"
"173","055  JACKSON","9980","2017","March","KY"
"174","056  JEFFERSON","584059","2017","March","KY"
"175","057  JESSAMINE","39465","2017","March","KY"
"176","058  JOHNSON","17921","2017","March","KY"
"177","059  KENTON","128983","2017","March","KY"
"178","060  KNOTT","11239","2017","March","KY"
"179","061  KNOX","24095","2017","March","KY"
"180","062  LARUE","10467","2017","March","KY"
"181","063  LAUREL","46367","2017","March","KY"
"182","064  LAWRENCE","12480","2017","March","KY"
"183","065  LEE","5233","2017","March","KY"
"184","066  LESLIE","8519","2017","March","KY"
"185","067  LETCHER","16342","2017","March","KY"
"186","068  LEWIS","10137","2017","March","KY"
"187","069  LINCOLN","17926","2017","March","KY"
"188","070  LIVINGSTON","7643","2017","March","KY"
"189","071  LOGAN","17819","2017","March","KY"
"190","072  LYON","6413","2017","March","KY"
"191","073  MCCRACKEN","53857","2017","March","KY"
"192","074  MCCREARY","11156","2017","March","KY"
"193","075  MCLEAN","6971","2017","March","KY"
"194","076  MADISON","63828","2017","March","KY"
"195","077  MAGOFFIN","9960","2017","March","KY"
"196","078  MARION","13183","2017","March","KY"
"197","079  MARSHALL","25543","2017","March","KY"
"198","080  MARTIN","8212","2017","March","KY"
"199","081  MASON","13106","2017","March","KY"
"200","082  MEADE","21305","2017","March","KY"
"201","083  MENIFEE","5340","2017","March","KY"
"202","084  MERCER","17525","2017","March","KY"
"203","085  METCALFE","7727","2017","March","KY"
"204","086  MONROE","8553","2017","March","KY"
"205","087  MONTGOMERY","20267","2017","March","KY"
"206","088  MORGAN","9135","2017","March","KY"
"207","089  MUHLENBERG","22635","2017","March","KY"
"208","090  NELSON","33127","2017","March","KY"
"209","091  NICHOLAS","5437","2017","March","KY"
"210","092  OHIO","17518","2017","March","KY"
"211","093  OLDHAM","50697","2017","March","KY"
"212","094  OWEN","8094","2017","March","KY"
"213","095  OWSLEY","3561","2017","March","KY"
"214","096  PENDLETON","10358","2017","March","KY"
"215","097  PERRY","20625","2017","March","KY"
"216","098  PIKE","49108","2017","March","KY"
"217","099  POWELL","9870","2017","March","KY"
"218","100  PULASKI","47276","2017","March","KY"
"219","101  ROBERTSON","1740","2017","March","KY"
"220","102  ROCKCASTLE","12383","2017","March","KY"
"221","103  ROWAN","14776","2017","March","KY"
"222","104  RUSSELL","14027","2017","March","KY"
"223","105  SCOTT","39036","2017","March","KY"
"224","106  SHELBY","31625","2017","March","KY"
"225","107  SIMPSON","13568","2017","March","KY"
"226","108  SPENCER","14331","2017","March","KY"
"227","109  TAYLOR","18167","2017","March","KY"
"228","110  TODD","8408","2017","March","KY"
"229","111  TRIGG","11669","2017","March","KY"
"230","112  TRIMBLE","7218","2017","March","KY"
"231","113  UNION","10234","2017","March","KY"
"232","114  WARREN","80632","2017","March","KY"
"233","115  WASHINGTON","8723","2017","March","KY"
"234","116  WAYNE","14726","2017","March","KY"
"235","117  WEBSTER","9645","2017","March","KY"
"236","118  WHITLEY","26940","2017","March","KY"
"237","119  WOLFE","5584","2017","March","KY"
"238","120  WOODFORD","20602","2017","March","KY"
"239","002  ALLEN","14581","2017","April","KY"
"240","003  ANDERSON","17846","2017","April","KY"
"241","004  BALLARD","6403","2017","April","KY"
"242","005  BARREN","30896","2017","April","KY"
"243","006  BATH","9241","2017","April","KY"
"244","007  BELL","21060","2017","April","KY"
"245","008  BOONE","99625","2017","April","KY"
"246","009  BOURBON","14606","2017","April","KY"
"247","010  BOYD","39366","2017","April","KY"
"248","011  BOYLE","21683","2017","April","KY"
"249","012  BRACKEN","6348","2017","April","KY"
"250","013  BREATHITT","11661","2017","April","KY"
"251","014  BRECKINRIDGE","15038","2017","April","KY"
"252","015  BULLITT","58228","2017","April","KY"
"253","016  BUTLER","9421","2017","April","KY"
"254","017  CALDWELL","10112","2017","April","KY"
"255","018  CALLOWAY","29454","2017","April","KY"
"256","019  CAMPBELL","72251","2017","April","KY"
"257","020  CARLISLE","4032","2017","April","KY"
"258","021  CARROLL","7865","2017","April","KY"
"259","022  CARTER","19781","2017","April","KY"
"260","023  CASEY","10968","2017","April","KY"
"261","024  CHRISTIAN","50573","2017","April","KY"
"262","025  CLARK","28339","2017","April","KY"
"263","026  CLAY","14573","2017","April","KY"
"264","027  CLINTON","7455","2017","April","KY"
"265","028  CRITTENDEN","6686","2017","April","KY"
"266","029  CUMBERLAND","5362","2017","April","KY"
"267","030  DAVIESS","73044","2017","April","KY"
"268","031  EDMONSON","9078","2017","April","KY"
"269","032  ELLIOTT","5177","2017","April","KY"
"270","033  ESTILL","10522","2017","April","KY"
"271","034  FAYETTE","226130","2017","April","KY"
"272","035  FLEMING","10786","2017","April","KY"
"273","036  FLOYD","30352","2017","April","KY"
