"","county","count","month","year","state"
"141","Howard","4434","August","2019","NE"
"142","Jefferson","4865","August","2019","NE"
"143","Johnson","2739","August","2019","NE"
"144","Kearney","4399","August","2019","NE"
"145","Keith","5951","August","2019","NE"
"146","Keya Paha","627","August","2019","NE"
"147","Kimball","2727","August","2019","NE"
"148","Knox","5557","August","2019","NE"
"149","Lancaster","190775","August","2019","NE"
"150","Lincoln","23459","August","2019","NE"
"151","Logan","546","August","2019","NE"
"152","Loup","504","August","2019","NE"
"153","Madison","21240","August","2019","NE"
"154","Mcpherson","339","August","2019","NE"
"155","Merrick","4688","August","2019","NE"
"156","Morrill","3034","August","2019","NE"
"157","Nance","2340","August","2019","NE"
"158","Nemaha","4423","August","2019","NE"
"159","Nuckolls","3130","August","2019","NE"
"160","Otoe","10449","August","2019","NE"
"161","Pawnee","1799","August","2019","NE"
"162","Perkins","1881","August","2019","NE"
"163","Phelps","6016","August","2019","NE"
"164","Pierce","4817","August","2019","NE"
"165","Platte","19991","August","2019","NE"
"166","Polk","3520","August","2019","NE"
"167","Red Willow","6991","August","2019","NE"
"168","Richardson","5410","August","2019","NE"
"169","Rock","1016","August","2019","NE"
"170","Saline","7773","August","2019","NE"
"171","Sarpy","112644","August","2019","NE"
"172","Saunders","14868","August","2019","NE"
"173","Scotts Bluff","23747","August","2019","NE"
"174","Seward","10973","August","2019","NE"
"175","Sheridan","3716","August","2019","NE"
"176","Sherman","2003","August","2019","NE"
"177","Sioux","885","August","2019","NE"
"178","Stanton","3783","August","2019","NE"
"179","Thayer","3672","August","2019","NE"
"180","Thomas","492","August","2019","NE"
"181","Thurston","4418","August","2019","NE"
"182","Valley","2969","August","2019","NE"
"183","Washington","14376","August","2019","NE"
"184","Wayne","5216","August","2019","NE"
"185","Webster","2291","August","2019","NE"
"186","Wheeler","595","August","2019","NE"
"187","York","9720","August","2019","NE"
"188","Grand Total","1204481","August","2019","NE"
"189","Adams","19233","December","2019","NE"
"190","Antelope","4493","December","2019","NE"
"191","Arthur","327","December","2019","NE"
"192","Banner","534","December","2019","NE"
"193","Blaine","386","December","2019","NE"
"194","Boone","3625","December","2019","NE"
"195","Box Butte","7602","December","2019","NE"
"196","Boyd","1365","December","2019","NE"
"197","Brown","2113","December","2019","NE"
"198","Buffalo","29775","December","2019","NE"
"199","Burt","4798","December","2019","NE"
"200","Butler","5468","December","2019","NE"
"201","Cass","17861","December","2019","NE"
"202","Cedar","5627","December","2019","NE"
"203","Chase","2452","December","2019","NE"
"204","Cherry","3917","December","2019","NE"
"205","Cheyenne","6238","December","2019","NE"
"206","Clay","4226","December","2019","NE"
"207","Colfax","5108","December","2019","NE"
"208","Cuming","5699","December","2019","NE"
"209","Custer","7833","December","2019","NE"
"210","Dakota","10686","December","2019","NE"
"211","Dawes","5378","December","2019","NE"
"212","Dawson","13383","December","2019","NE"
"213","Deuel","1362","December","2019","NE"
"214","Dixon","3714","December","2019","NE"
"215","Dodge","21733","December","2019","NE"
"216","Douglas","354659","December","2019","NE"
"217","Dundy","1222","December","2019","NE"
"218","Fillmore","3961","December","2019","NE"
"219","Franklin","2239","December","2019","NE"
"220","Frontier","1836","December","2019","NE"
"221","Furnas","3437","December","2019","NE"
"222","Gage","14094","December","2019","NE"
"223","Garden","1356","December","2019","NE"
"224","Garfield","1267","December","2019","NE"
"225","Gosper","1423","December","2019","NE"
"226","Grant","480","December","2019","NE"
"227","Greeley","1562","December","2019","NE"
"228","Hall","33433","December","2019","NE"
"229","Hamilton","6591","December","2019","NE"
"230","Harlan","2411","December","2019","NE"
"231","Hayes","696","December","2019","NE"
"232","Hitchcock","1871","December","2019","NE"
"233","Holt","6972","December","2019","NE"
"234","Hooker","529","December","2019","NE"
"235","Howard","4441","December","2019","NE"
"236","Jefferson","4846","December","2019","NE"
"237","Johnson","2756","December","2019","NE"
"238","Kearney","4409","December","2019","NE"
"239","Keith","5954","December","2019","NE"
"240","Keya Paha","627","December","2019","NE"
"241","Kimball","2721","December","2019","NE"
"242","Knox","5558","December","2019","NE"
"243","Lancaster","191385","December","2019","NE"
"244","Lincoln","23584","December","2019","NE"
"245","Logan","548","December","2019","NE"
"246","Loup","504","December","2019","NE"
"247","Madison","21284","December","2019","NE"
"248","Mcpherson","344","December","2019","NE"
"249","Merrick","4716","December","2019","NE"
"250","Morrill","3061","December","2019","NE"
"251","Nance","2349","December","2019","NE"
"252","Nemaha","4273","December","2019","NE"
"253","Nuckolls","3154","December","2019","NE"
"254","Otoe","10479","December","2019","NE"
"255","Pawnee","1811","December","2019","NE"
"256","Perkins","1884","December","2019","NE"
"257","Phelps","6018","December","2019","NE"
"258","Pierce","4821","December","2019","NE"
"259","Platte","20022","December","2019","NE"
"260","Polk","3525","December","2019","NE"
"261","Red Willow","7017","December","2019","NE"
"262","Richardson","5419","December","2019","NE"
"263","Rock","1016","December","2019","NE"
"264","Saline","7756","December","2019","NE"
"265","Sarpy","113585","December","2019","NE"
"266","Saunders","14978","December","2019","NE"
"267","Scotts Bluff","23769","December","2019","NE"
"268","Seward","11047","December","2019","NE"
"269","Sheridan","3711","December","2019","NE"
"270","Sherman","1994","December","2019","NE"
"271","Sioux","880","December","2019","NE"
"272","Stanton","3787","December","2019","NE"
"273","Thayer","3669","December","2019","NE"
"274","Thomas","494","December","2019","NE"
"275","Thurston","4352","December","2019","NE"
"276","Valley","2955","December","2019","NE"
"277","Washington","14439","December","2019","NE"
"278","Wayne","5199","December","2019","NE"
"279","Webster","2310","December","2019","NE"
"280","Wheeler","606","December","2019","NE"
"281","York","9714","December","2019","NE"
"282","Grand Total","1208746","December","2019","NE"
"283","Adams","19791","February","2019","NE"
"284","Antelope","4483","February","2019","NE"
"285","Arthur","332","February","2019","NE"
"286","Banner","545","February","2019","NE"
"287","Blaine","392","February","2019","NE"
"288","Boone","3703","February","2019","NE"
"289","Box Butte","7722","February","2019","NE"
"290","Boyd","1433","February","2019","NE"
"291","Brown","2108","February","2019","NE"
"292","Buffalo","29913","February","2019","NE"
"293","Burt","4855","February","2019","NE"
"294","Butler","5562","February","2019","NE"
"295","Cass","17988","February","2019","NE"
"296","Cedar","5636","February","2019","NE"
"297","Chase","2520","February","2019","NE"
"298","Cherry","4171","February","2019","NE"
"299","Cheyenne","6370","February","2019","NE"
"300","Clay","4319","February","2019","NE"
"301","Colfax","5158","February","2019","NE"
"302","Cuming","5759","February","2019","NE"
"303","Custer","7881","February","2019","NE"
"304","Dakota","10994","February","2019","NE"
"305","Dawes","5513","February","2019","NE"
"306","Dawson","13609","February","2019","NE"
"307","Deuel","1389","February","2019","NE"
"308","Dixon","3773","February","2019","NE"
"309","Dodge","22255","February","2019","NE"
"310","Douglas","359170","February","2019","NE"
"311","Dundy","1275","February","2019","NE"
"312","Fillmore","4031","February","2019","NE"
"313","Franklin","2267","February","2019","NE"
"314","Frontier","1850","February","2019","NE"
"315","Furnas","3431","February","2019","NE"
"316","Gage","14274","February","2019","NE"
"317","Garden","1358","February","2019","NE"
"318","Garfield","1289","February","2019","NE"
"319","Gosper","1448","February","2019","NE"
"320","Grant","505","February","2019","NE"
"321","Greeley","1563","February","2019","NE"
"322","Hall","33721","February","2019","NE"
"323","Hamilton","6656","February","2019","NE"
"324","Harlan","2419","February","2019","NE"
"325","Hayes","705","February","2019","NE"
"326","Hitchcock","1964","February","2019","NE"
"327","Holt","7029","February","2019","NE"
"328","Hooker","536","February","2019","NE"
"329","Howard","4521","February","2019","NE"
"330","Jefferson","4947","February","2019","NE"
"331","Johnson","2751","February","2019","NE"
"332","Kearney","4467","February","2019","NE"
"333","Keith","6102","February","2019","NE"
"334","Keya Paha","634","February","2019","NE"
"335","Kimball","2835","February","2019","NE"
"336","Knox","5674","February","2019","NE"
"337","Lancaster","192729","February","2019","NE"
"338","Lincoln","24028","February","2019","NE"
"339","Logan","549","February","2019","NE"
"340","Loup","511","February","2019","NE"
"341","Madison","21476","February","2019","NE"
"342","Mcpherson","343","February","2019","NE"
"343","Merrick","4677","February","2019","NE"
"344","Morrill","3067","February","2019","NE"
"345","Nance","2363","February","2019","NE"
"346","Nemaha","4579","February","2019","NE"
"347","Nuckolls","3188","February","2019","NE"
"348","Otoe","10555","February","2019","NE"
"349","Pawnee","1836","February","2019","NE"
"350","Perkins","1970","February","2019","NE"
"351","Phelps","6237","February","2019","NE"
"352","Pierce","4892","February","2019","NE"
"353","Platte","20170","February","2019","NE"
"354","Polk","3552","February","2019","NE"
"355","Red Willow","7236","February","2019","NE"
"356","Richardson","5566","February","2019","NE"
"357","Rock","1014","February","2019","NE"
"358","Saline","7959","February","2019","NE"
"359","Sarpy","114016","February","2019","NE"
"360","Saunders","15008","February","2019","NE"
"361","Scotts Bluff","24442","February","2019","NE"
"362","Seward","11084","February","2019","NE"
"363","Sheridan","3792","February","2019","NE"
"364","Sherman","1996","February","2019","NE"
"365","Sioux","894","February","2019","NE"
"366","Stanton","3814","February","2019","NE"
"367","Thayer","3798","February","2019","NE"
"368","Thomas","511","February","2019","NE"
"369","Thurston","4585","February","2019","NE"
"370","Valley","3017","February","2019","NE"
"371","Washington","14449","February","2019","NE"
"372","Wayne","5334","February","2019","NE"
"373","Webster","2385","February","2019","NE"
"374","Wheeler","601","February","2019","NE"
"375","York","9908","February","2019","NE"
"376","Grand Total","1223727","February","2019","NE"
"377","Adams","19791","January","2019","NE"
"378","Antelope","4488","January","2019","NE"
"379","Arthur","333","January","2019","NE"
"380","Banner","546","January","2019","NE"
"381","Blaine","393","January","2019","NE"
"382","Boone","3704","January","2019","NE"
"383","Box Butte","7732","January","2019","NE"
"384","Boyd","1438","January","2019","NE"
"385","Brown","2123","January","2019","NE"
"386","Buffalo","29929","January","2019","NE"
"387","Burt","4867","January","2019","NE"
"388","Butler","5579","January","2019","NE"
"389","Cass","18012","January","2019","NE"
"390","Cedar","5774","January","2019","NE"
"391","Chase","2532","January","2019","NE"
"392","Cherry","4197","January","2019","NE"
"393","Cheyenne","6395","January","2019","NE"
"394","Clay","4323","January","2019","NE"
"395","Colfax","5150","January","2019","NE"
"396","Cuming","5758","January","2019","NE"
"397","Custer","7880","January","2019","NE"
"398","Dakota","10979","January","2019","NE"
"399","Dawes","5530","January","2019","NE"
"400","Dawson","13598","January","2019","NE"
"401","Deuel","1392","January","2019","NE"
"402","Dixon","3777","January","2019","NE"
"403","Dodge","22281","January","2019","NE"
"404","Douglas","358504","January","2019","NE"
"405","Dundy","1278","January","2019","NE"
"406","Fillmore","4041","January","2019","NE"
"407","Franklin","2271","January","2019","NE"
"408","Frontier","1851","January","2019","NE"
"409","Furnas","3431","January","2019","NE"
"410","Gage","14289","January","2019","NE"
"411","Garden","1354","January","2019","NE"
"412","Garfield","1291","January","2019","NE"
"413","Gosper","1448","January","2019","NE"
"414","Grant","504","January","2019","NE"
"415","Greeley","1565","January","2019","NE"
"416","Hall","33710","January","2019","NE"
"417","Hamilton","6672","January","2019","NE"
"418","Harlan","2431","January","2019","NE"
"419","Hayes","706","January","2019","NE"
"420","Hitchcock","1963","January","2019","NE"
"421","Holt","7023","January","2019","NE"
"422","Hooker","537","January","2019","NE"
"423","Howard","4521","January","2019","NE"
"424","Jefferson","4925","January","2019","NE"
"425","Johnson","2757","January","2019","NE"
"426","Kearney","4468","January","2019","NE"
"427","Keith","6099","January","2019","NE"
"428","Keya Paha","634","January","2019","NE"
"429","Kimball","2825","January","2019","NE"
"430","Knox","5672","January","2019","NE"
"431","Lancaster","192923","January","2019","NE"
"432","Lincoln","24027","January","2019","NE"
"433","Logan","551","January","2019","NE"
"434","Loup","512","January","2019","NE"
"435","Madison","21495","January","2019","NE"
"436","Mcpherson","342","January","2019","NE"
"437","Merrick","4682","January","2019","NE"
"438","Morrill","3061","January","2019","NE"
"439","Nance","2369","January","2019","NE"
"440","Nemaha","4565","January","2019","NE"
"441","Nuckolls","3197","January","2019","NE"
"442","Otoe","10552","January","2019","NE"
"443","Pawnee","1838","January","2019","NE"
"444","Perkins","1968","January","2019","NE"
"445","Phelps","6259","January","2019","NE"
"446","Pierce","4917","January","2019","NE"
"447","Platte","20201","January","2019","NE"
"448","Polk","3560","January","2019","NE"
"449","Red Willow","7254","January","2019","NE"
"450","Richardson","5566","January","2019","NE"
"451","Rock","1019","January","2019","NE"
"452","Saline","7954","January","2019","NE"
"453","Sarpy","114068","January","2019","NE"
"454","Saunders","15051","January","2019","NE"
"455","Scotts Bluff","24450","January","2019","NE"
"456","Seward","11100","January","2019","NE"
"457","Sheridan","3781","January","2019","NE"
"458","Sherman","1998","January","2019","NE"
"459","Sioux","914","January","2019","NE"
"460","Stanton","3806","January","2019","NE"
"461","Thayer","3806","January","2019","NE"
"462","Thomas","511","January","2019","NE"
"463","Thurston","4577","January","2019","NE"
"464","Valley","3026","January","2019","NE"
"465","Washington","14489","January","2019","NE"
"466","Wayne","5352","January","2019","NE"
"467","Webster","2386","January","2019","NE"
"468","Wheeler","601","January","2019","NE"
"469","York","9874","January","2019","NE"
"470","Grand Total","1223873","January","2019","NE"
